"period","mean_ct","mean_cta_months","mean_cta_days","sd_cta_months","se_cta_months","se_cta_days","group"
17,6.57026192622129,0.247313576861093,7.52822527965167,0.863656083996244,0.172731216799249,5.25793823936913,"assemblage"
18,6.09011117770516,-0.22370334003892,-6.80952967078473,1.04669571187185,0.209339142374371,6.37228349387584,"assemblage"
19,6.47842299939069,0.154063385374886,4.68968945081154,1.29836022465975,0.25967204493195,7.90441704772856,"assemblage"
20,6.45172530587653,0.134384811239489,4.09067365413006,0.739139585732217,0.147827917146443,4.49988179793774,"assemblage"
21,6.3336787665312,0.0122392608558333,0.372563100451564,0.85577200273331,0.171154400546662,5.20993995264039,"assemblage"
22,6.08609292099164,-0.239316391826814,-7.28479096720823,1.00102441129349,0.200204882258699,6.09423661595479,"assemblage"
23,6.22157946141052,-0.087724137044809,-2.67032273164399,1.21339828204512,0.242679656409025,7.38716874109071,"assemblage"
17,7.59632672200613,0.688431541548162,20.9558561247261,0.592594840126379,0.118518968025276,3.6077173866894,"earlier"
18,7.20862681698013,0.433882259482447,13.2073759786457,0.69259574781421,0.138519149562842,4.21652291269291,"earlier"
19,7.02746772986824,0.241400182066465,7.34822154210318,0.841862084483564,0.168372416896713,5.12525637033594,"earlier"
20,6.99538221486062,0.143663050216873,4.37310324860161,0.601626722481017,0.120325344496203,3.66270348646443,"earlier"
21,6.8065000543499,-0.0830053735976626,-2.52668357231285,0.626295163030396,0.125259032606079,3.81288495252905,"earlier"
22,6.31588000882179,-0.535839155821956,-16.3109439032203,0.853857303300199,0.17077146066004,5.19828326249161,"earlier"
23,5.97419144160112,-0.811876106200656,-24.713508672748,0.937608141480173,0.187521628296035,5.7081583653313,"earlier"
17,4.93280531931611,-0.746415712000013,-22.7208942732804,0.631036817705638,0.126207363541128,3.84175214619193,"later"
18,5.37329523395237,-0.305925797363751,-9.31238127175258,0.764072118457002,0.1528144236914,4.65167105716623,"later"
19,4.7915617494966,-1.01277662479292,-30.8289204586966,1.24517407071486,0.249034814142973,7.58061974251209,"later"
20,5.90117353647986,0.193320756040999,5.88468381388802,0.604904500386334,0.120980900077267,3.682658598352,"later"
21,5.65408328558268,-0.053769494856177,-1.63674342342203,1.43400026307736,0.286800052615473,8.73019360161499,"later"
22,6.52408280513782,0.719744430848294,21.9090204750221,0.969228195296316,0.193845639059263,5.90066125296397,"later"
23,6.92717988476047,1.12284151047094,34.1792955787354,1.55167126523144,0.310334253046288,9.446574662729,"later"
17,6.39748151594441,0.293769143313996,8.94233272247803,0.819815742524924,0.163963148504985,4.99103824049174,"noChange"
18,5.39910420734282,-0.784134586274331,-23.8690568061906,1.11012679435739,0.222025358871477,6.75845192404777,"noChange"
19,6.76000950714412,0.628577758619721,19.1339069723843,1.38177187400621,0.276354374801243,8.41222716894984,"noChange"
20,6.2054220810974,0.101709708466983,3.09604352573496,0.906671652399166,0.181334330479833,5.51981701980612,"noChange"
21,6.22282581041083,0.119113437780417,3.6258130460359,0.732930772348767,0.146586154469753,4.46208254205929,"noChange"
22,5.68428385557326,-0.419428517057157,-12.7674040592199,0.894293017942111,0.178858603588422,5.44445589323157,"noChange"
23,6.12495161886708,0.021239246236665,0.646522655444081,0.721436610897354,0.144287322179471,4.39210608714309,"noChange"
