"","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7","Comp.8","Comp.9","Comp.10","Comp.11","Comp.12","Comp.13","Comp.14","Comp.15","Comp.16"
"month_maximum",0.0284436786216213,0.260187104742079,0.582347062166326,0.381819918186346,0.0147306304033987,0.249719978897086,0.195519394254593,0.462616001693896,0.357810386572819,0.0601114957855427,0.00882681281086799,0.00070680213538192,0.00636727499267751,0.0263509820355661,0.018199602666273,-0.0161023692717346
"Demersal",0.937910462613343,-0.206003405761216,0.0493194642617457,-0.113713463536123,0.00339177148546083,-0.00207465053317044,0.103227701901506,0.133473309054764,-0.113526088896597,-0.0744586612604255,0.0949605998623289,0.0563230732170487,0.0584332048799303,0.14075711134072,0.124210998178884,0.0501806526368832
"Epipelagic",-0.113867808239502,0.908872150275292,-0.151632908187636,0.085892867979937,0.0533942833322301,-0.0447909950379717,-0.055343335549645,-0.220231676945712,0.159722428130322,-0.0286623622400906,-0.215793121996202,-0.02701900870006,0.0237459606517451,-0.117301309263747,-0.139110648945961,-0.0777330100853588
"Mesopelagic",-0.864010471474967,-0.467163992083743,0.0628182374687201,0.0511743404663379,-0.0431162132698878,0.0353895731562802,-0.0632747123803665,0.0286878353241264,-0.00388945118639419,0.0966142033729787,0.0643422805826696,-0.036885561177967,-0.0767512144914029,-0.0551829452099258,-0.0222375617147912,0.00702064219626873
"Coastal",0.947050627680315,-0.163299142912698,0.0916228599153448,-0.121152121214729,0.00388584450869331,-0.033954612115643,0.0605577417828012,0.136063601608243,-0.0515732300220513,-0.114308375391329,-0.072289369910142,-0.0883251461615686,-0.0354128108248336,0.268389187660753,0.145448801843533,-0.140126406628505
"Coastal-Oceanic",-0.177824886330044,0.889034087660912,-0.270935068507825,0.0259994736521022,-0.0315518112461924,0.0216665108064788,0.00493290509143507,-0.167764650195699,0.10181426733532,0.0791954507856767,0.239972547444826,-0.00317346814874183,0.00675958758478066,-0.152898194535339,0.0125883448326529,-0.00542196821127287
"Oceanic",-0.8357412396196,-0.498836140182495,0.109197004750028,0.104477633258275,0.0196574613610494,0.018510523866964,-0.0656520776861617,-0.0135480022864749,-0.0234963997151802,0.0576305963319888,-0.105785571022322,0.0927433127246104,0.0311680842053586,-0.160066931275153,-0.158239054264437,0.14742586295224
"Cool-water",0.376571573017307,-0.528542943946936,-0.431693327906136,0.502732320473185,0.0534663701699051,0.278613606640516,-0.0614819373819815,-0.181003699037023,0.136548655724091,-0.061764991766085,0.0136726826554375,-0.00738680895672064,0.00296181919800306,-0.0310359769965634,0.0822226371197619,0.0181263241266192
"Warm-water",0.125781929093776,0.254627287113332,0.698181415209226,-0.180996777886459,-0.0477096454725041,-0.325826118458956,-0.534014244324543,-0.0145878391005625,-0.0226084541939126,0.0658121610613463,0.0212643408191909,0.00150163776532841,0.00265161056378599,-0.105561975607879,0.333896349839915,-0.050446865778241
"Wide Distribution",-0.54344346658041,0.363572305454868,-0.15689616393742,-0.402474414755708,-0.0164546165434866,-0.0142617655210741,0.564115085147013,0.218744617809296,-0.133900260785112,0.0091046961697999,-0.0351903190222754,0.00698560763792169,-0.00581330165368781,0.132922888858972,-0.40235965904768,0.0261514026696874
"Argentiniformes",-0.27513635001819,-0.17484866130361,-0.429348603271701,-0.289660384460037,-0.593974359707266,0.234366071397946,-0.340952806263077,0.29357820607818,0.0613990857881866,0.0778792198969932,-0.0146382560975078,-0.0527308908387291,0.049847291496945,0.0503432153369746,0.000483429694864051,0.0409751069284069
"Myctophiformes",-0.556970017526944,-0.270632465854234,0.26300934729595,-0.206131011375039,0.634039373533457,0.282282466191499,-0.00597449833498034,-0.087076105347236,-0.044857595148611,-0.0092430924010842,0.0430569520924023,-0.0871192960576082,0.0634821648558966,-0.036182277828386,-0.00763112515031898,-0.050129416051734
"Perciformes/Scorpaenoidei",0.409723584265388,-0.202266308846693,-0.475689246013318,0.000783458836009515,0.438150947887303,-0.430005079799168,-0.0322371212538422,0.203248354723968,0.0932713921142038,0.369186294312934,-0.0255419228284077,-0.00545203632710098,0.00491098076796615,-0.00568419774490574,0.11551345899958,0.0577526405779146
"Pleuronectiformes",0.552440840094746,-0.103252249792888,0.36117707178364,-0.0893302595081217,-0.295833967894841,0.353551692629794,0.260460409005154,-0.355910122795389,-0.0696520828848675,0.363663045731979,-0.0386385629965967,-0.00921507889525015,0.0033260881253637,-0.0344293590991998,-0.371251226052811,-0.058139411130067
"Scombriformes",0.0214796173681208,0.562996671112873,-0.0758798285271773,0.508651606728374,0.118032715045313,0.284718402825709,-0.209121191788364,0.237057455680684,-0.46331644210382,0.0886638022063502,-0.0244551158856055,-0.0043690370816608,-0.00494282794237214,-0.0635641466311424,0.098199764178684,-0.00570975450715062
"Stomiiformes",-0.353238955075871,-0.212556396530966,0.154740337025539,0.524312009510429,-0.340792647442558,-0.55648016693261,0.286299869704257,-0.0587374844044686,-0.111021790122629,-0.00276794629013215,0.0289525979262923,-0.0667473638987477,0.048372394618538,0.148400456957654,-0.00429466570076037,0.00653712619718159
