"cluster","Period_3y","mean_cta_days","se_cta_days"
"Epipelagic",1,-38.6337033365726,NA
"Epipelagic",2,29.9500820403182,NA
"Epipelagic",3,0.485181514010123,NA
"Epipelagic",4,16.6492007963815,NA
"Epipelagic",5,12.9216805471886,NA
"Epipelagic",6,-0.121321653222175,NA
"Epipelagic",7,-51.8920640946554,NA
"Epipelagic",8,26.8083329088819,NA
"Epipelagic",9,3.83261127766987,NA
"Mesopelagic",1,-51.0988145394883,12.7742607225848
"Mesopelagic",2,18.9580519331504,6.64778191696582
"Mesopelagic",3,19.9676451224783,5.54214400274532
"Mesopelagic",4,4.73684986279207,9.15417119142919
"Mesopelagic",5,-6.60498487260455,4.42240710219511
"Mesopelagic",6,20.325102680342,17.6605869855014
"Mesopelagic",7,-1.50066880783906,7.85405051428772
"Mesopelagic",8,-9.03637294233909,7.75771072513223
"Mesopelagic",9,-8.52151207136381,14.3387802685503
"Demersal",1,19.4304977706631,10.5432891238846
"Demersal",2,5.11069426349654,7.40074692664457
"Demersal",3,-7.65988991878738,6.05532393472371
"Demersal",4,-5.31555322190658,6.49214703844483
"Demersal",5,-4.20775531159875,4.47782734776367
"Demersal",6,6.77067765416988,7.71632652651342
"Demersal",7,-5.89243731005827,3.36115247204893
"Demersal",8,-8.54142628793299,6.00867129300982
"Demersal",9,-1.15364560541625,6.60048828041822
