"","Period_3y","Assemblage","ct","mean_ct_months","sd_ct_months","ct_anomaly_months","ct_anomaly_days","se_ct_months","lower_ct","upper_ct","se_cta_days","LabelYear"
"1",1,"Northern",7.11522757975635,6.81834786112928,0.489776910325082,0.296879718627074,9.03701863500813,0.2688833,6.58821631175635,7.64223884775635,7.36933,1997
"2",1,"Southern",6.27376524259594,6.24480173148356,0.351339992272119,0.0289635111123756,0.881649278260713,0.3686187,5.55127259059594,6.99625789459594,10.537443,1997
"3",2,"Northern",6.92299209520858,6.81834786112928,0.489776910325082,0.104644234079307,3.18537048537409,0.1294764,6.66921835120858,7.17676583920858,4.268114,2000
"4",2,"Southern",5.93309293914613,6.24480173148356,0.351339992272119,-0.311708792337436,-9.48841563875155,0.3655488,5.21661729114613,6.64956858714613,10.502526,2000
"5",3,"Northern",7.04254964405121,6.81834786112928,0.489776910325082,0.224201782921932,6.82470227214363,0.1607315,6.72751590405121,7.35758338405121,4.704061,2003
"6",3,"Southern",5.82889391644039,6.24480173148356,0.351339992272119,-0.41590781504317,-12.6602338899141,0.1956784,5.44536425244039,6.21242358044039,6.18515,2003
"7",4,"Northern",6.62060412994217,6.81834786112928,0.489776910325082,-0.197743731187105,-6.01931917733547,0.1679882,6.29134725794217,6.94986100194217,4.873223,2006
"8",4,"Southern",6.21112734646943,6.24480173148356,0.351339992272119,-0.0336743850141374,-1.02504827983034,0.409006,5.40947558646943,7.01277910646943,11.57069,2006
"9",5,"Northern",6.5789612276454,6.81834786112928,0.489776910325082,-0.239386633483881,-7.28692912324934,0.176898,6.2322411476454,6.9256813076454,4.874256,2009
"10",5,"Southern",5.93680909550292,6.24480173148356,0.351339992272119,-0.30799263598064,-9.37529583925069,0.2682012,5.41113474350292,6.46248344750292,8.126599,2009
"11",6,"Northern",6.06680799778552,6.81834786112928,0.489776910325082,-0.751539863343754,-22.8768734401839,0.1397594,5.79287957378552,6.34073642178552,4.278765,2012
"12",6,"Southern",6.94406418899703,6.24480173148356,0.351339992272119,0.699262457513463,21.2855492067098,0.2803371,6.39460347299703,7.49352490499703,8.756003,2012
"13",7,"Northern",7.74819200959466,6.81834786112928,0.489776910325082,0.929844148465379,28.3044558792861,0.2507668,7.25668908159466,8.23969493759466,6.830186,2015
"14",7,"Southern",6.30665232551292,6.24480173148356,0.351339992272119,0.0618505940293597,1.88273208225371,0.1469943,6.01854349751292,6.59476115351292,4.969566,2015
"15",8,"Northern",6.9320162112758,6.81834786112928,0.489776910325082,0.113668350146525,3.46006457846021,0.1343653,6.6686602232758,7.1953721992758,4.146559,2018
"16",8,"Southern",6.17372475589567,6.24480173148356,0.351339992272119,-0.0710769755878955,-2.16358313689554,0.3432209,5.50101179189567,6.84643771989567,9.32356,2018
"17",9,"Northern",6.3377798549038,6.81834786112928,0.489776910325082,-0.480568006225478,-14.6284901095035,0.1597159,6.0247366909038,6.6508230189038,4.720907,2021
"18",9,"Southern",6.59508577279164,6.24480173148356,0.351339992272119,0.350284041308079,10.6626462174179,0.3328616,5.94267703679164,7.24749450879164,10.237621,2021
