"Taxa","fall_winter","spring_summer","season"
"Anoplarchus.purpurescens",0.103235142753931,0.0582356006571754,"fall_winter"
"Artedius.fenestralis",0.221207478480952,0.16932895396367,"fall_winter"
"Artedius.harringtoni",0.173146300103968,0.206276984508014,"spring_summer"
"Engraulis.mordax",2.3949165317227,6.23965536294727,"spring_summer"
"Glyptocephalus.zachirus",0.0957851972454394,0.0913047763059937,"fall_winter"
"Hemilepidotus.hemilepidotus",0.102196322463422,0.00851048143845486,"fall_winter"
"Hemilepidotus.spinosus",0.0911146071137662,0.000417312351531037,"fall_winter"
"Hexagrammos.decagrammus",0.087354751329841,0,"fall_winter"
"Isopsetta.isolepis",0.820758101749615,0.321650418891443,"fall_winter"
"Leptocottus.armatus",0.185130207675039,0.0616784058061203,"fall_winter"
"Liparis.fucensis",0.142625408896555,0.0722440784017772,"fall_winter"
"Lipolagus.ochotensis",0.0635839980138009,0.0432635041399156,"fall_winter"
"Lyopsetta.exilis",0.174682086979785,0.18013286259376,"spring_summer"
"Microgadus.proximus",0.145156108058664,0.137474584632762,"fall_winter"
"Microstomus.pacificus",0.0918555298963202,0.100296100883045,"spring_summer"
"Nannobrachium.regale",0.0167775877250586,0.0705992197882089,"spring_summer"
"Ophiodon.elongatus",0.0570688007661272,0.0208105024591073,"fall_winter"
"Parophrys.vetulus",1.94905807598086,0.11436169436444,"fall_winter"
"Platichthys.stellatus",0.0439572759773031,0.0450624398394504,"spring_summer"
"Psettichthys.melanostictus",0.352405513791482,0.44813558003348,"spring_summer"
"Ronquilus.jordani",0.0607652676826132,0.0734208808654615,"spring_summer"
"Ruscarius.meanyi",0.0614421686035461,0.114367098418869,"spring_summer"
"Scorpaenichthys.marmoratus",0.183467562489381,0.114250050363953,"fall_winter"
"Stenobrachius.leucopsarus",0.277938709445973,0.502630857122682,"spring_summer"
"Tarletonbeania.crenularis",0.118743609942786,0.126062379334509,"spring_summer"
