"Period_3y","Assemblage","ct","mean_ct_months","sd_ct_months","ct_anomaly_months","ct_anomaly_days"
1,"Southern",6.60026998932336,6.21692268623432,0.422951027069409,0.383347303089041,11.6690919060304
1,"Northern",6.91887837328161,6.76490018866319,0.33625545559426,0.153978184618422,4.68709593978477
2,"Southern",5.48657852382166,6.21692268623432,0.422951027069409,-0.730344162412664,-22.2316763038415
2,"Northern",6.9813996535503,6.76490018866319,0.33625545559426,0.216499464887111,6.59024371116365
3,"Southern",5.84520593051709,6.21692268623432,0.422951027069409,-0.371716755717237,-11.3150580440327
3,"Northern",7.09496140070623,6.76490018866319,0.33625545559426,0.330061212043046,10.0470632945903
4,"Southern",6.63606368321134,6.21692268623432,0.422951027069409,0.419140996977019,12.7586519479805
4,"Northern",6.42362924041501,6.76490018866319,0.33625545559426,-0.341270948248181,-10.3882876646746
5,"Southern",5.70750399751976,6.21692268623432,0.422951027069409,-0.509418688714568,-15.5067048844715
5,"Northern",6.55418006909655,6.76490018866319,0.33625545559426,-0.210720119566633,-6.41432043960832
6,"Southern",6.49778876321904,6.21692268623432,0.422951027069409,0.280866076984717,8.54956338341478
6,"Northern",6.47965146498284,6.76490018866319,0.33625545559426,-0.28524872368035,-8.68297114882984
7,"Southern",6.38806134726267,6.21692268623432,0.422951027069409,0.171138661028345,5.20946084170282
7,"Northern",7.36841113471404,6.76490018866319,0.33625545559426,0.603510946050854,18.370873197788
8,"Southern",6.34302800368588,6.21692268623432,0.422951027069409,0.126105317451555,3.83864586322533
8,"Northern",6.6007888569626,6.76490018866319,0.33625545559426,-0.164111331700585,-4.99554893696582
9,"Southern",6.44780393754812,6.21692268623432,0.422951027069409,0.230881251313791,7.02802528999181
9,"Northern",6.46220150425951,6.76490018866319,0.33625545559426,-0.302698684403683,-9.2141479532481
